melanoma,Gene,Uniprot,Protein,Overexpression,Affinity 000,Type 000,SMILES 000,ID 000,Affinity 001,Type 001,SMILES 001,ID 001,Affinity 002,Type 002,SMILES 002,ID 002
melanoma,AKT1,P31749,RAC-alpha serine/threonine-protein kinase (EC 2.7.11.1) (Protein kinase B) (PKB) (Protein kinase B alpha) (PKB alpha) (Proto-oncogene c-Akt) (RAC-PK-alpha),9.76,0.04,Ki,NCC(Cc1ccccc1)NC(=O)c1cc(Br)c(s1)-c1ccnc2[nH]ccc12,50278693,0.05,Ki,NC[C@H](Cc1ccccc1C(F)(F)F)NC(=O)c1cc(Br)c(s1)-c1ccnc2[nH]ccc12,50278098,0.06,Ki,NC[C@H](Cc1ccc(F)cc1)NC(=O)c1cc(Br)c(s1)-c1ccnc2[nH]ccc12,50278837
melanoma,JUN,P05412,Transcription factor AP-1 (Activator protein 1) (AP1) (Proto-oncogene c-Jun) (V-jun avian sarcoma virus 17 oncogene homolog) (p39),9.69,3.0,IC50,COc1ccc2nc(nc(NN3C(=O)C=C(C)C3=O)c2c1)-c1cccs1,50135483,8.0,IC50,COc1cccc2nc(nc(NN3C(=O)C=C(C)C3=O)c12)-c1cccs1,50135482,,,,
melanoma,CSNK1G2,P78368,Casein kinase I isoform gamma-2 (CKI-gamma 2) (EC 2.7.11.1),9.14,3.0,IC50,COc1cnc(COc2ccc(F)cc2C)cc1-c1cc2c(CCNC2=O)[nH]1,50400754,3.0,IC50,COc1cnc(COc2ccc(F)cc2F)cc1-c1cc2c(CCNC2=O)[nH]1,50400756,4.0,IC50,COc1cnc(COc2cc(F)c(F)cc2C)cc1-c1cc2c(CCNC2=O)[nH]1,50400753
melanoma,MC1R,Q01726,Melanocyte-stimulating hormone receptor (MSH-R) (Melanocortin receptor 1) (MC1-R),8.79,0.0,EC50,CCCC[C@H](NC(C)=O)C(=O)N[C@H]1CC(=O)NCCCC[C@H](NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@@H]2C[C@@H](CN2C(=O)[C@@H](Cc2ccc3ccccc3c2)NC(=O)[C@H](Cc2cnc[nH]2)NC1=O)N=C(N)N)C(N)=O,50268799,0.0,EC50,CCCC[C@H](NC(C)=O)C(=O)N[C@H]1CC(=O)NCCCC[C@H](NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@@H]2C[C@@H](CN2C(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](Cc2cnc[nH]2)NC1=O)N=C(N)N)C(N)=O,50268793,0.002,EC50,CCCC[C@H](NC(C)=O)C(=O)N[C@H]1CCC(=O)NCC[C@H](NC(=O)[C@H](CCCNC(N)=N)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](Cc2c[nH]cn2)NC1=O)C(=O)N[C@@H](Cc1cccc2ccccc12)C(N)=O,250661
melanoma,SERPINE1,P05121,Plasminogen activator inhibitor 1 (PAI) (PAI-1) (Endothelial plasminogen activator inhibitor) (Serpin E1),8.6,3.1,Kd,Oc1cc(cc(O)c1O)C(=O)OC[C@H]1OC(OC(=O)c2cc(O)c(O)c(O)c2)[C@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@H]1OC(=O)c1cc(O)c(O)c(O)c1,92485,3.1,Kd,Oc1cc(cc(O)c1O)C(=O)OC[C@H]1OC(OC(=O)c2cc(O)c(O)c(O)c2)[C@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@H]1OC(=O)c1cc(O)c(O)c(O)c1,92485,5.3,Kd,Oc1cc(cc(O)c1O)C(=O)OCC(COC(=O)c1cc(O)c(O)c(O)c1)OC(=O)c1cc(O)c(O)c(O)c1,92486
melanoma,BMP1,P13497,Bone morphogenetic protein 1 (BMP-1) (EC 3.4.24.19) (Mammalian tolloid protein) (mTld) (Procollagen C-proteinase) (PCP),8.58,0.024,IC50,COc1ccc(cc1)S(=O)(=O)N(Cc1ccc2OCOc2c1)[C@@H](C(=O)NO)C(=O)C(N)CNC(=O)OCC1c2ccccc2-c2ccccc12,50111856,0.2,IC50,COc1ccc(cc1)S(=O)(=O)N(Cc1ccc2OCOc2c1)[C@H](Cc1cccs1)C(=O)NO,50111848,0.2,IC50,COc1ccc(cc1)S(=O)(=O)N(Cc1ccc2OCOc2c1)[C@H](Cc1cccs1)C(=O)NO,50111848
melanoma,SCARB1,Q8WTV0,"Scavenger receptor class B member 1 (SRB1) (CD36 and LIMPII analogous 1) (CLA-1) (CD36 antigen-like 1) (Collagen type I receptor, thrombospondin receptor-like 1) (SR-BI) (CD antigen CD36)",8.48,1.5,IC50,Cc1noc(n1)-c1ccc2n(CCCSc3cc(F)cc(F)c3)c3CCCCc3c2c1,50397852,1.5,IC50,CCc1cc(CC)nc(OCCCn2c3CCCC(=O)c3c3cc(ccc23)-c2nc(C)no2)n1,50397855,1.5,IC50,Cc1noc(n1)-c1ccc2n(CC(F)COc3cc(F)cc(F)c3)c3CCCCc3c2c1,50397857
melanoma,UGCG,Q16739,Ceramide glucosyltransferase (EC 2.4.1.80) (GLCT-1) (Glucosylceramide synthase) (GCS) (UDP-glucose ceramide glucosyltransferase) (UDP-glucose:N-acylsphingosine D-glucosyltransferase),8.31,0.3,IC50,CN1CCN(CC1)C(=O)[C@@H](COCc1ccc2OCCOc2c1)NC(=O)c1cccnc1Oc1ccc(cc1Cl)C(F)(F)F,50356075,1.0,IC50,CN1CCN(CC1)C(=O)[C@@H](COCc1ccc2OCCOc2c1)NC(=O)c1cccnc1Oc1ccc(cc1Cl)C(F)(F)F,50356075,1.0,IC50,CN1CCN(CC1)C(=O)[C@@H](COCc1ccccc1)NC(=O)c1cccnc1Oc1ccc(cc1Cl)C(F)(F)F,50356076
melanoma,BRD2,P25440,Bromodomain-containing protein 2 (O27.1.1) (Really interesting new gene 3 protein),8.11,3.2,IC50,C[C@H]1C[C@@H](Nc2ccc(Cl)cc2)c2cc(ccc2N1C(C)=O)-c1ccc(cc1)C(O)=O,50028142,5.4,Ki,Cc1sc-2c(c1C)C(=N[C@@H](CC(=O)Nc1ccc(O)cc1)c1nnc(C)n-21)c1ccc(Cl)cc1,50092312,6.2,Kd,Cc1nnc2[C@H](CC(=O)OC(C)(C)C)N=C(c3c(C)c(C)sc3-n12)c1ccc(Cl)cc1,50365262
melanoma,MAP2K2,P36507,Dual specificity mitogen-activated protein kinase kinase 2 (MAP kinase kinase 2) (MAPKK 2) (EC 2.7.12.2) (ERK activator kinase 2) (MAPK/ERK kinase 2) (MEK 2),8.07,3.9,Kd,C[C@]12O[C@H](C[C@]1(O)CO)n1c3ccccc3c3c4C(=O)NCc4c4c5ccccc5n2c4c13,50308060,3.9,Kd,C[C@]12O[C@H](C[C@]1(O)CO)n1c3ccccc3c3c4C(=O)NCc4c4c5ccccc5n2c4c13,50308060,9.9,Kd,COc1cc(Nc2c(cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)C#N)c(Cl)cc1Cl,4552
melanoma,PDE6D,O43924,"Retinal rod rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit delta (GMP-PDE delta) (Protein p17)",8.02,0.077,Kd,O=C(OC[C@H](C1CCNCC1)n1c(nc2ccccc12)-c1ccccc1)C1CCN(CC1)c1nc2ccccc2n1Cc1ccccc1,50019866,1.1,Kd,C(Oc1ccc(cc1)-c1nc2ccccc2n1Cc1ccccc1)[C@H](C1CCNCC1)n1c(nc2ccccc12)-c1ccccc1,50019865,6.0,Kd,Cc1nc2ccccc2n1CCOC(=O)C1CCN(CC1)c1nc2ccccc2n1Cc1ccccc1,50019850
melanoma,BACE2,Q9Y5Z0,Beta-secretase 2 (EC 3.4.23.45) (Aspartic-like protease 56 kDa) (Aspartyl protease 1) (ASP1) (Asp 1) (Beta-site amyloid precursor protein cleaving enzyme 2) (Beta-site APP cleaving enzyme 2) (Down region aspartic protease) (DRAP) (Memapsin-1) (Membrane-associated aspartic protease 1) (Theta-secretase),7.54,0.0014,Ki,CCCC(O)C(NCC(O)C(Cc1ccccc1)NC(=O)c1cc(C)cc(c1)C(=O)N(C)C(C)c1ccccc1)C(=O)NCC(C)C,172740,0.02,Ki,CCCC(O)C(NCC(O)C(Cc1ccccc1)NC(=O)c1cccc(c1)C(=O)N(C)C(C)c1ccccc1)C(=O)NCC(C)C,172750,0.22,Ki,CN1C(=N)N[C@@](C)(CS1(=O)=O)c1cc(NC(=O)c2ccc(Cl)cn2)ccc1F,143218
melanoma,HSPCA,P07900,Heat shock protein HSP 90-alpha (Heat shock 86 kDa) (HSP 86) (HSP86) (Lipopolysaccharide-associated protein 2) (LAP-2) (LPS-associated protein 2) (Renal carcinoma antigen NY-REN-38),7.38,0.04,IC50,CCOC(=O)NCc1ccc(cc1)-n1c(n[nH]c1=S)-c1cc(C(C)C)c(O)cc1O,81917,0.043,Kd,CN(C)c1ccc(Oc2cc(O)cc(O)c2-c2cc(on2)C(=O)NC2CCN(CC2)C2CCC3(CC2)OCCO3)cc1,152279,0.057,Kd,CN(C)c1ccc(Oc2cc(O)cc(O)c2-c2cc(no2)C(=O)NC2CCN(CC2)C2CCC3(CC2)OCCO3)cc1,50442757
melanoma,STK10,O94804,Serine/threonine-protein kinase 10 (EC 2.7.11.1) (Lymphocyte-oriented kinase),7.0,0.03,Kd,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4CNC(=O)c4c4c5ccccc5n2c4c13,2579,0.037,Kd,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4CNC(=O)c4c4c5ccccc5n2c4c13,2579,0.037000000000000005,Kd,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4CNC(=O)c4c4c5ccccc5n2c4c13,2579
melanoma,PRKCD,Q05655,Protein kinase C delta type (EC 2.7.11.13) (Tyrosine-protein kinase PRKCD) (EC 2.7.10.2) (nPKC-delta) [Cleaved into: Protein kinase C delta type regulatory subunit; Protein kinase C delta type catalytic subunit (Sphingosine-dependent protein kinase-1) (SDK1)],6.98,0.1,IC50,CN1CCN(CC1)c1nc(C2=C(C(=O)NC2=O)c2c[nH]c3c(C)cccc23)c2ccccc2n1,50393214,0.14,Ki,CCCC(=O)O[C@@]12C(C3CC(=O)C[C@@]4(O)C(C=C(C)C4=O)[C@]3(O)[C@@H](C)[C@H]1OC(=O)c1ccccc1NC)C2(C)C,92596,0.177,Kd,CCCC(=O)O[C@@H]1[C@H](C)[C@@]2(O)C3C=C(C)C(=O)[C@@]3(O)CC(=O)CC2C2C(C)(C)[C@@]12OC(=O)CCC,92594
melanoma,TKT,P29401,Transketolase (TK) (EC 2.2.1.1),6.83,3.0,Kd,CC(=O)Nc1ncc(Cc2csc(CCO)c2C)c(N)n1,50373882,4.7,EC50,CC(=O)OCCc1sc[n+](Cc2ccc(C)nc2N)c1C,50373745,7.0,Kd,Cc1c(CCO)sc[n+]1Cc1ccc(N)nc1,50373735
melanoma,FOLR1,P15328,"Folate receptor alpha (FR-alpha) (Adult folate-binding protein) (FBP) (Folate receptor 1) (Folate receptor, adult) (KB cells FBP) (Ovarian tumor-associated antigen MOv18)",6.78,0.0005,Kd,Nc1nc2NCC(CCc3ccc(s3)C(=O)N[C@H](CCC(O)=O)C(O)=O)Sc2c(=O)[nH]1,50059333,0.002,Kd,Nc1nc2NCC(CCc3ccc(cc3)C(=O)NC(CCC(O)=O)C(O)=O)Sc2c(=O)[nH]1,50059339,0.0032,Kd,Nc1nc2NCC(CCc3ccc(s3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)Sc2c(=O)[nH]1,50059335
melanoma,P2RX7,Q99572,P2X purinoceptor 7 (P2X7) (ATP receptor) (P2Z receptor) (Purinergic receptor),6.67,0.01,IC50,C[C@H](CN)n1ccc2c(NC(=O)Cc3ccc(c(F)c3)C(F)(F)F)c(C)ccc2c1=O,50426571,0.0501,IC50,CC(C)C(CO)n1ccc2c(NC(=O)CC34CC5CC(CC(C5)C3)C4)cccc2c1=O,50414304,0.0794,IC50,CC(C(N)=O)n1ccc2c(NC(=O)CC34CC5CC(CC(C5)C3)C4)c(Cl)ccc2c1=O,50414307
melanoma,MAP3K12,Q12852,Mitogen-activated protein kinase kinase kinase 12 (EC 2.7.11.25) (Dual leucine zipper bearing kinase) (DLK) (Leucine-zipper protein kinase) (ZPK) (MAPK-upstream kinase) (MUK) (Mixed lineage kinase),6.5,0.2,Ki,N#Cc1ccnc(Nc2cc(cc(OC3CCC3)n2)C2CCN(CC2)C2COC2)c1,50059194,0.7,Ki,FC1(F)CCN(C1)c1cc(cc(Nc2cc(ccn2)C#N)n1)C1CN(C1)C1COC1,50059191,0.9,Ki,FC1(F)CCN(C1)c1cc(cc(Nc2cc(ccn2)C#N)n1)C1CCOCC1,50059201
melanoma,FYN,P06241,Tyrosine-protein kinase Fyn (EC 2.7.10.2) (Proto-oncogene Syn) (Proto-oncogene c-Fyn) (Src-like kinase) (SLK) (p59-Fyn),6.48,0.4,Kd,Cc1ccc(O)cc1Nc1ccnc(Nc2cccc(c2)C(N)=O)n1,26145,0.5,IC50,CC(C)(C)n1nc(-c2ccc(Cl)cc2)c2c(N)ncnc12,50142887,0.79,Kd,Cc1nc(Nc2ncc(s2)C(=O)Nc2c(C)cccc2Cl)cc(n1)N1CCN(CCO)CC1,13216
melanoma,GART,P22102,Trifunctional purine biosynthetic protein adenosine-3 [Includes: Phosphoribosylamine--glycine ligase (EC 6.3.4.13) (Glycinamide ribonucleotide synthetase) (GARS) (Phosphoribosylglycinamide synthetase); Phosphoribosylformylglycinamidine cyclo-ligase (EC 6.3.3.1) (AIR synthase) (AIRS) (Phosphoribosyl-aminoimidazole synthetase); Phosphoribosylglycinamide formyltransferase (EC 2.1.2.2) (5'-phosphoribosylglycinamide transformylase) (GAR transformylase) (GART)],6.44,5e-05,IC50,Nc1nc2NCC(CCCc3ccc(cc3)C(=O)NC(CCC(O)=O)C(O)=O)Nc2c(=O)[nH]1,50016658,0.00055,IC50,CC(CC1=Nc2c(NC1)nc(N)[nH]c2=O)Cc1ccc(cc1)C(=O)NC(CCC(O)=O)C(O)=O,50016662,0.001,IC50,Nc1nc2NC[C@H](CCNc3ccc(cc3)C(=O)NC(CCC(O)=O)C(O)=O)Nc2c(=O)[nH]1,50016660
melanoma,ITPR3,Q14573,"Inositol 1,4,5-trisphosphate receptor type 3 (IP3 receptor isoform 3) (IP3R 3) (InsP3R3) (Type 3 inositol 1,4,5-trisphosphate receptor) (Type 3 InsP3 receptor)",6.43,1.17,Kd,CN(C)c1ccc(cc1)[C+](c1ccc(cc1)N(C)C)c1ccc(cc1)C(=O)NCCCOP(O)(=O)OC1C(O)C(O)C(OP(O)(O)=O)C(OP(O)(O)=O)C1O,50078572,2.9,IC50,O[C@H]1[C@@H](OP(O)(O)=O)[C@H](O)[C@@H](OP(O)(O)=O)[C@H](OP(O)(O)=O)[C@H]1OP(O)(O)=O,50075651,6.1,IC50,O[C@@H]1[C@H](O)[C@H](OP(O)(O)=O)[C@@H](OP(O)(O)=O)[C@H](OP(O)(O)=O)[C@H]1O,50075647
melanoma,HSPA8,P11142,Heat shock cognate 71 kDa protein (Heat shock 70 kDa protein 8) (Lipopolysaccharide-associated protein 1) (LAP-1) (LPS-associated protein 1),6.43,,,,,,,,,,,,
melanoma,IGF1R,P08069,Insulin-like growth factor 1 receptor (EC 2.7.10.1) (Insulin-like growth factor I receptor) (IGF-I receptor) (CD antigen CD221) [Cleaved into: Insulin-like growth factor 1 receptor alpha chain; Insulin-like growth factor 1 receptor beta chain],6.39,0.11,IC50,COc1cc(ccc1Nc1ncc(Cl)c(Nc2ccccc2C(N)=O)n1)P(C)(C)=O,50185287,0.18,IC50,COc1cc(OCCN2CCCC2)ccc1Nc1ncc2CCc3nn(C)c(c3-c2n1)-c1ccccc1Cl,122557,0.19,IC50,COc1cc(ccc1Nc1ncc2C(C)Cc3nn(C)c(c3-c2n1)-c1ccccc1Cl)N1CCN(C)CC1,122627
melanoma,PPIB,P23284,Peptidyl-prolyl cis-trans isomerase B (PPIase B) (EC 5.2.1.8) (CYP-S1) (Cyclophilin B) (Rotamase B) (S-cyclophilin) (SCYLP),6.24,1.0,Kd,CC[C@@H]1NC(=O)[C@H]([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC(=O)[C@H](C(C)C)N(CC)C(=O)[C@@H](C)N(C)C1=O)C(C)C,50339127,1.2,Kd,CC[C@@H]1NC(=O)[C@H]([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC(=O)[C@H]([C@@H](C)CN2CCN(CCOC)CC2)N(C)C(=O)[C@@H](C)N(C)C1=O)C(C)C,50030493,2.9,Kd,CC[C@@H]1NC(=O)[C@H]([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC(=O)[C@H](CC(C)(C)O)N(C)C(=O)[C@H](SCCN(C)C)N(C)C1=O)C(C)C,50323721
melanoma,NR1H2,P55055,Oxysterols receptor LXR-beta (Liver X receptor beta) (Nuclear receptor NER) (Nuclear receptor subfamily 1 group H member 2) (Ubiquitously-expressed nuclear receptor),6.17,0.6,IC50,CS(=O)(=O)c1cc(ccc1CO)-c1ccc(CN(Cc2ccccc2)S(=O)(=O)c2ccccc2C(F)(F)F)s1,50177010,1.0,IC50,CC1(CCC[C@@]2(C)[C@H]1CCc1ccc(O)cc21)C(=O)NC(=O)[C@@]1(C)CCC[C@@]2(C)[C@H]1CCc1ccc(O)cc21,50167697,1.0,EC50,CC1(CCC[C@@]2(C)[C@H]1CCc1ccc(O)cc21)C(=O)NC(=O)[C@@]1(C)CCC[C@@]2(C)[C@H]1CCc1ccc(O)cc21,50167697
melanoma,MMP17,Q9ULZ9,Matrix metalloproteinase-17 (MMP-17) (EC 3.4.24.-) (Membrane-type matrix metalloproteinase 4) (MT-MMP 4) (MTMMP4) (Membrane-type-4 matrix metalloproteinase) (MT4-MMP) (MT4MMP),6.07,3.4,IC50,CNC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](CC(C)C)CC(=O)NO,50062351,5.7,IC50,CC(C)C[C@H](CC(=O)NO)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCCCN)C(N)=O,50035507,,,,
melanoma,OPRS1,Q99720,Sigma non-opioid intracellular receptor 1 (Aging-associated gene 8 protein) (SR31747-binding protein) (SR-BP) (Sigma 1-type opioid receptor) (SIG-1R) (Sigma1-receptor) (Sigma1R) (hSigmaR1),5.82,0.01,Ki,CC(CN1C[C@H](C)O[C@H](C)C1)Cc1ccc(cc1)C(C)(C)C,50170654,0.036000000000000004,Ki,C(CCN1CCN(CC1)C1CCCCC1)CC1CCCc2ccccc12,50145021,0.04,Ki,CCCCCCCCCCCCCN1C[C@H](C)O[C@H](C)C1,50170652
melanoma,MIF,P14174,Macrophage migration inhibitory factor (MIF) (EC 5.3.2.1) (Glycosylation-inhibiting factor) (GIF) (L-dopachrome isomerase) (L-dopachrome tautomerase) (EC 5.3.3.12) (Phenylpyruvate tautomerase),5.68,7.5,IC50,Cc1ccc2n(Cc3cccc(O)c3)c(=O)oc2c1,50327348,10.0,IC50,Cc1ccc2oc(=O)n(Cc3cccc(O)c3)c2c1,50327346,,,,
melanoma,NUDT1,P36639,"7,8-dihydro-8-oxoguanine triphosphatase (EC 3.6.1.55) (2-hydroxy-dATP diphosphatase) (EC 3.6.1.56) (8-oxo-dGTPase) (Nucleoside diphosphate-linked moiety X motif 1) (Nudix motif 1)",5.68,0.2,IC50,CN(CC(C)(C)C)c1nc(N)ncc1C,50152127,0.2,IC50,Cc1cnc(N)nc1OCC(C)(C)C,50152144,0.5,IC50,CN(CC(C)(C)CO)c1nc(N)ncc1C,50152129
